"Id","Chara","Serif","Place","Chapter","Para","Effect","Left","Center","Right","BGM","SE","Release","","","","","","","","","","","","","","","","",""
"10","","ケンティについて(3:30)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","99@自分","ケンティってどんな人なんですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","1@ケンティ","どんな人……か。……ネガティブ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","99@自分","え、意外です！ケンティって、どこでも生きていけそうなタイプだと思ってました。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","1@ケンティ","すごく不安症なんだ。でも、好奇心は旺盛だし、フットワークはかなり軽い！","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","99@自分","好奇心旺盛だけど、いざ行動すると不安になっちゃうってやつですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","1@ケンティ","そうそう！めちゃくちゃあってる。フランスに行く時も、行動したは良いけど、よくネガティブになったもんだよ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","99@自分","でも、ちゃんと行動できるのすごすぎますね……。ちなみに、フランスに住んでた経験あるって言いますけど、他にも海外住んでましたよね？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","1@ケンティ","フィリピンのマニラ、ジョージアのトビリシ、フランスの南仏にパリ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","99@自分","すごい海外経験豊富ですね！もしかして、出身も海外ですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","1@ケンティ","いや、出身は東京だよ。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","99@自分","あ、それは普通に日本なんですね。ちなみに今は何されてるんですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","1@ケンティ","今はWebデザイナーやってるよ。前は5年くらいITエンジニアをやってた！しばらくはその仕事をするつもりはないんだよね。","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","99@自分","え、エンジニアなのに！？なんでやらないんですか？","","","","","","","","","","","","","","","","","","","","","","","","","","",""
